method,search_seed,budget,event_type,inserted,accuracy,search_best_so_far
RE,2702,22,first_evaluation,,0.7902,0.8156
RE,2702,23,first_evaluation,,0.7886,0.8156
RE,2702,24,first_evaluation,,0.7976,0.8156
RE,2702,25,first_evaluation,,0.8034,0.8156
RE,2702,26,first_evaluation,,0.7866,0.8156
RE,2702,27,first_evaluation,,0.791,0.8156
RE,2702,28,first_evaluation,,0.8,0.8156
RE,2702,29,first_evaluation,,0.7478,0.8156
RE,2702,30,first_evaluation,,0.813,0.8156
SA-RE,2702,1,first_evaluation,,0.761,0.761
SA-RE,2702,2,first_evaluation,,0.8044,0.8044
SA-RE,2702,3,first_evaluation,,0.7618,0.8044
SA-RE,2702,4,first_evaluation,,0.802,0.8044
SA-RE,2702,5,first_evaluation,,0.7768,0.8044
SA-RE,2702,6,first_evaluation,,0.6414,0.8044
SA-RE,2702,7,first_evaluation,,0.78,0.8044
SA-RE,2702,8,first_evaluation,,0.7798,0.8044
SA-RE,2702,9,first_evaluation,,0.732,0.8044
SA-RE,2702,10,first_evaluation,,0.785,0.8044
SA-RE,2702,11,first_evaluation,,0.7622,0.8044
SA-RE,2702,12,first_evaluation,,0.7576,0.8044
SA-RE,2702,13,first_evaluation,,0.8186,0.8186
SA-RE,2702,14,first_evaluation,,0.754,0.8186
SA-RE,2702,15,first_evaluation,,0.7788,0.8186
SA-RE,2702,16,first_evaluation,,0.7564,0.8186
SA-RE,2702,17,first_evaluation,,0.7718,0.8186
SA-RE,2702,18,first_evaluation,,0.801,0.8186
SA-RE,2702,19,first_evaluation,,0.7048,0.8186
SA-RE,2702,20,first_evaluation,,0.6722,0.8186
SA-RE,2702,21,first_evaluation,,0.8172,0.8186
SA-RE,2702,22,first_evaluation,,0.8192,0.8192
SA-RE,2702,23,first_evaluation,,0.8232,0.8232
SA-RE,2702,24,first_evaluation,,0.8062,0.8232
SA-RE,2702,25,first_evaluation,,0.8212,0.8232
SA-RE,2702,26,first_evaluation,,0.8092,0.8232
SA-RE,2702,27,first_evaluation,,0.813,0.8232
SA-RE,2702,28,first_evaluation,,0.803,0.8232
SA-RE,2702,29,first_evaluation,,0.8138,0.8232
SA-RE,2702,30,first_evaluation,,0.817,0.8232
RS-SA-RE,2702,1,first_evaluation,True,0.762,0.762
RS-SA-RE,2702,2,first_evaluation,True,0.8044,0.8044
RS-SA-RE,2702,3,first_evaluation,True,0.7636,0.8044
RS-SA-RE,2702,4,first_evaluation,True,0.8024,0.8044
RS-SA-RE,2702,5,first_evaluation,True,0.783,0.8044
RS-SA-RE,2702,6,first_evaluation,True,0.6414,0.8044
RS-SA-RE,2702,7,first_evaluation,True,0.7768,0.8044
RS-SA-RE,2702,8,first_evaluation,True,0.7862,0.8044
RS-SA-RE,2702,9,first_evaluation,True,0.7146,0.8044
RS-SA-RE,2702,10,first_evaluation,True,0.785,0.8044
RS-SA-RE,2702,11,first_evaluation,True,0.7764,0.8044
RS-SA-RE,2702,12,first_evaluation,True,0.7456,0.8044
RS-SA-RE,2702,13,first_evaluation,True,0.8098,0.8098
RS-SA-RE,2702,14,first_evaluation,True,0.7652,0.8098
RS-SA-RE,2702,15,first_evaluation,True,0.779,0.8098
RS-SA-RE,2702,16,first_evaluation,True,0.7564,0.8098
RS-SA-RE,2702,17,first_evaluation,True,0.7866,0.8098
RS-SA-RE,2702,18,first_evaluation,True,0.801,0.8098
RS-SA-RE,2702,19,first_evaluation,True,0.7048,0.8098
RS-SA-RE,2702,20,first_evaluation,True,0.6726,0.8098
RS-SA-RE,2702,21,repeat_evaluation,False,0.765,0.8098
RS-SA-RE,2702,22,repeat_evaluation,False,0.7906,0.8098
RS-SA-RE,2702,23,repeat_evaluation,False,0.7566,0.8098
RS-SA-RE,2702,24,repeat_evaluation,False,0.7936,0.8098
RS-SA-RE,2702,25,first_evaluation,True,0.8172,0.8172
RS-SA-RE,2702,26,first_evaluation,True,0.8192,0.8192
RS-SA-RE,2702,27,first_evaluation,True,0.806,0.8192
RS-SA-RE,2702,28,first_evaluation,True,0.8184,0.8192
RS-SA-RE,2702,29,repeat_evaluation,False,0.7728,0.8192
RS-SA-RE,2702,30,first_evaluation,True,0.8244,0.8244
