"search_seed","initial_best","final_best","final_population_best","runtime_minutes","mean_arch_training_time_seconds"
"2701","0.8284","0.83","0.83","66.5333333333333","130.173275676664"
"2702","0.8124","0.8156","0.8156","67.7333333333333","132.708407716669"
