evaluation_index,best_so_far
1,0.7518
2,0.8044
3,0.8044
4,0.8092
5,0.8092
6,0.8092
7,0.8092
8,0.8092
9,0.8092
10,0.8092
11,0.8092
12,0.8092
13,0.8124
14,0.8124
15,0.8124
16,0.8124
17,0.8124
18,0.8124
19,0.8124
20,0.8124
21,0.8156
22,0.8156
23,0.8156
24,0.8156
25,0.8156
26,0.8156
27,0.8156
28,0.8156
29,0.8156
30,0.8156
