method,search_seed,base_evaluation_index,architecture,seed_1,accuracy_1,seed_2,accuracy_2,mean_target,instability_target,budget_index
RS-SA-RE,2702,5,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":0,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":1,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":2,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":5,""op"":""sep_conv_7x7""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":1,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":1,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":1,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":1,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":1,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":1,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":0,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""identity""}}]}}",20260831,0.783,21260831,0.765,0.774,0.018000000000000016,21
RS-SA-RE,2702,11,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":0,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":2,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":3,""op"":""identity""},""branch_2"":{""input_state"":0,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":0,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":1,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":3,""op"":""dil_sep_conv_3x3""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":0,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":2,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":1,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":0,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":4,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":2,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":4,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":1,""op"":""identity""}}]}}",20260837,0.7764,21260837,0.7906,0.7835,0.01419999999999999,22
RS-SA-RE,2702,16,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""identity""},""branch_2"":{""input_state"":1,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":0,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":1,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":3,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":2,""op"":""identity""}},{""branch_1"":{""input_state"":0,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":0,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":4,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":3,""op"":""sep_conv_5x5""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":2,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":3,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":3,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":4,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":3,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":5,""op"":""sep_conv_7x7""}}]}}",20260842,0.7564,21260842,0.7566,0.7565,0.000200000000000089,23
RS-SA-RE,2702,17,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":1,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":3,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":1,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":1,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":4,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""sep_conv_7x7""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":1,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":3,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":3,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":1,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":0,""op"":""identity""},""branch_2"":{""input_state"":3,""op"":""conv_1x7_7x1""}}]}}",20260843,0.7866,21260843,0.7936,0.7901,0.007000000000000006,24
RS-SA-RE,2702,7,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":0,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":2,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":1,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":3,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":2,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":1,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":5,""op"":""dil_sep_conv_3x3""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""identity""},""branch_2"":{""input_state"":1,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":0,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":2,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":2,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":1,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":3,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":4,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":0,""op"":""sep_conv_3x3""}}]}}",20260833,0.7768,21260833,0.7728,0.7748,0.0040000000000000036,29
