evaluation_index,predicted_mu,observed_accuracy,error,absolute_error
21,0.8121410608291626,0.8172,-0.00505893917083744,0.00505893917083744
22,0.8153336048126221,0.8192,-0.003866395187377969,0.003866395187377969
23,0.8266068696975708,0.8232,0.003406869697570758,0.003406869697570758
24,0.8323593139648438,0.8062,0.026159313964843722,0.026159313964843722
25,0.8261001110076904,0.8212,0.004900111007690389,0.004900111007690389
26,0.826047956943512,0.8092,0.016847956943511933,0.016847956943511933
27,0.819709300994873,0.813,0.006709300994873102,0.006709300994873102
28,0.837950587272644,0.803,0.034950587272643996,0.034950587272643996
29,0.8162235021591187,0.8138,0.0024235021591186845,0.0024235021591186845
30,0.8318125009536743,0.817,0.014812500953674368,0.014812500953674368
